Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number
#WE1007,test@email.com,paid,2020-03-19 17:21:36 +0800,fulfilled,2020-03-19 17:21:04 +0800,no,MYR,499.00,0.00,0.00,499.00,"",0.00,"",2020-03-19 17:15:01 +0800,1,Member Signup Package 1,499.00,,"",false,false,fulfilled,Test Customer,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12383243108488.1,0.00,WEFRESH by WEBAY GROUP,2081649524872,"",Low,web,0.00,,,,,,,,,,,,
#WE1008,name@email.com,paid,2020-03-20 03:34:12 +0800,fulfilled,2020-03-20 03:34:44 +0800,no,MYR,499.00,0.00,0.00,499.00,"",0.00,"",2020-03-19 17:56:49 +0800,1,Member Signup Package 1,499.00,,"",false,false,fulfilled,Name Last,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12383322112136.1,0.00,WEFRESH by WEBAY GROUP,2081820213384,"",Low,web,0.00,,,,,,,,,,,,
#WE1009,gabrieltan19@gmail.com,paid,2020-03-20 03:34:12 +0800,fulfilled,2020-03-20 03:34:44 +0800,no,MYR,499.00,0.00,0.00,499.00,"",0.00,"",2020-03-19 18:42:16 +0800,1,Member Signup Package 1,499.00,,"",false,false,fulfilled,Gabriel Tan,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12383402098824.1,0.00,WEFRESH by WEBAY GROUP,2081982742664,"",Low,web,0.00,,,,,,,,,,,,
#WE1012,member@email.com,paid,2020-03-20 03:34:13 +0800,fulfilled,2020-03-20 03:34:47 +0800,no,MYR,499.00,0.00,0.00,499.00,"",0.00,"",2020-03-19 21:29:30 +0800,1,Member Signup Package 1,499.00,,"",false,false,fulfilled,New  Member,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12383803277448.1,0.00,WEFRESH by WEBAY GROUP,2082594652296,"",Low,web,0.00,,,,,,,,,,,,
#WE1017,esp@nixel.tech,paid,2020-03-24 01:34:55 +0800,fulfilled,2020-03-28 10:05:33 +0800,no,MYR,499.00,0.00,0.00,499.00,"",0.00,"",2020-03-20 13:08:10 +0800,1,Member Signup Package 1,499.00,,"",false,false,fulfilled,Shi Ping - Company Eng,77 Jalan Ss20/10 Damansara Utama,77 Jalan Ss20/10 Damansara Utama,"",,Petaling Jaya,'47400,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12386645803144.1,0.00,WEFRESH by WEBAY GROUP,2086159057032,"",Low,web,0.00,,,,,,,,,,,,
#WE1018,esp@nixel.tech,paid,2020-03-24 01:34:55 +0800,fulfilled,2020-03-28 10:05:33 +0800,no,MYR,499.00,0.00,0.00,499.00,"",0.00,"",2020-03-20 13:14:14 +0800,1,Member Signup Package 1,499.00,,"",false,false,fulfilled,Shi Ping - Company Eng,77 Jalan Ss20/10 Damansara Utama,77 Jalan Ss20/10 Damansara Utama,"",,Petaling Jaya,'47400,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12386653470856.2,0.00,WEFRESH by WEBAY GROUP,2086177964168,"",Low,web,0.00,,,,,,,,,,,,
#WE1028,gabrieltan19@gmail.com,paid,2020-03-24 13:04:32 +0800,fulfilled,2020-03-24 14:25:46 +0800,no,MYR,489.00,0.00,0.00,489.00,NEWMEMBER-DISCOUNT,10.00,"",2020-03-21 16:23:58 +0800,1,Member Signup Package 1,499.00,,"",false,false,fulfilled,Test Customer,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12391163658376.1,0.00,WEFRESH by WEBAY GROUP,2092401098888,"",Low,web,0.00,,,,,,,,,,,,
#WE1043,esp@nixel.tech,paid,2020-03-25 21:21:37 +0800,fulfilled,2020-03-25 21:22:30 +0800,no,MYR,961.80,0.00,27.77,989.57,"",0.00,Free shipping,2020-03-25 21:17:19 +0800,1,Member Signup Package 1,499.00,499.00,,false,false,fulfilled,Shi Ping - Company Eng,77 Jalan Ss20/10 Damansara Utama,77 Jalan Ss20/10 Damansara Utama,"",,Petaling Jaya,'47400,SGR,MY,,Shi Ping - Company Eng,77 Jalan Ss20/10 Damansara Utama,77 Jalan Ss20/10 Damansara Utama,"",,Petaling Jaya,'47400,SGR,MY,,,"",,(for testing) Bogus Gateway,c12411387838600.1,0.00,WEFRESH by WEBAY GROUP,2105578455176,"",Low,web,0.00,SST 6%,27.77,,,,,,,,,,
#WE1043,esp@nixel.tech,,,,,,,,,,,,,,2020-03-25 21:17:19 +0800,2,Cod Fish (鳕鱼) - 0.8kg,142.40,142.40,"",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,WEFRESH by WEBAY GROUP,,,,,0.00,,,,,,,,,,,,
#WE1043,esp@nixel.tech,,,,,,,,,,,,,,2020-03-25 21:17:19 +0800,1,Cod Fish (鳕鱼) - 1.0kg,178.00,178.00,"",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,WEFRESH by WEBAY GROUP,,,,,0.00,,,,,,,,,,,,
#WE1046,new@email.com,paid,2020-03-28 10:05:10 +0800,fulfilled,2020-03-28 10:05:42 +0800,no,MYR,623.60,0.00,7.48,631.08,"",79.40,Free shipping,2020-03-25 21:38:08 +0800,1,Cod Fish (鳕鱼) - 1.0kg,178.00,178.00,,true,true,fulfilled,Test Customer,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,Test Customer,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,,"",,(for testing) Bogus Gateway,c12411614036104.1,0.00,WEFRESH by WEBAY GROUP,2105662046344,"",Low,1354745,53.40,SST 6%,7.48,,,,,,,,,,
#WE1046,new@email.com,,,,,,,,,,,,,,2020-03-25 21:38:08 +0800,1,Member Signup Package 1,525.00,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,WEFRESH by WEBAY GROUP,,,,,26.00,,,,,,,,,,,,
#WE1047,alskdjalskd@gmail.com,paid,2020-03-25 21:40:05 +0800,fulfilled,2020-03-25 21:40:27 +0800,no,MYR,798.04,0.00,17.94,815.98,"",154.16,Free shipping,2020-03-25 21:38:41 +0800,3,Cod Fish (鳕鱼) - 0.8kg,142.40,142.40,,true,true,fulfilled,asdasd asdlkjalsdjl,kjhkjhk,kjhkjhk,"",,Klang,'12312,SGR,MY,,asdasd asdlkjalsdjl,kjhkjhk,kjhkjhk,"",,Klang,'12312,SGR,MY,,,"",,(for testing) Bogus Gateway,c12411614298248.1,0.00,WEFRESH by WEBAY GROUP,2105664110728,"",Low,1354745,128.16,SST 6%,17.94,,,,,,,,,,
#WE1047,alskdjalskd@gmail.com,,,,,,,,,,,,,,2020-03-25 21:38:41 +0800,1,Member Signup Package 1,525.00,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,WEFRESH by WEBAY GROUP,,,,,26.00,,,,,,,,,,,,
#WE1054,gabriel@nixel.tech,paid,2020-03-26 16:37:27 +0800,fulfilled,2020-03-26 16:37:35 +0800,no,MYR,499.00,0.00,0.00,499.00,"",26.00,"",2020-03-26 16:36:15 +0800,1,Member Signup Package 1,525.00,,"",false,false,fulfilled,Gabriel Tan,"No.3, Jalan Address, Taman Address","No.3, Jalan Address, Taman Address","",,Cheras,'43200,SGR,MY,,,,,,,,,,,,,"",,(for testing) Bogus Gateway,c12415853985928.1,0.00,WEFRESH by WEBAY GROUP,2110175674504,"",Low,1354745,26.00,,,,,,,,,,,,
